Project Location,Technical Feasibility,Financial Feasibility,Contract Terms,Project Budget,Relevant Experience,Internal Resources Available,Regulatory Issues,Risk Level,Market Demand,Client Reliability,Strategic Alignment,Initial Go NoGo Decision
Tabuk,Feasible,Feasible,Neutral,50 - 100 Million,No,Yes,None,High,Medium,High,High,Go
Yanbu,Challenging,Feasible,Neutral,100 - 150 Million,Yes,Yes,None,Low,Low,Low,Low,NoGo
Riyadh,Unfeasible,Feasible,Neutral,Above 2 Billion,No,Yes,Minor,High,Low,Medium,Low,NoGo
Dammam,Unfeasible,Feasible,Neutral,50 - 100 Million,Yes,No,Major,Medium,Medium,Medium,Medium,NoGo
Medina,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,None,Medium,Medium,Medium,Low,Go
Riyadh,Challenging,Feasible,Neutral,Above 2 Billion,No,No,Minor,Medium,Low,High,Low,NoGo
Tabuk,Unfeasible,Feasible,Neutral,Above 2 Billion,No,No,Major,Medium,Medium,Medium,Low,NoGo
Riyadh,Feasible,Feasible,Neutral,800 - 900 Million,No,Yes,Minor,High,Medium,Low,High,Go
Riyadh,Feasible,Feasible,Neutral,150 - 200 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Medina,Unfeasible,Feasible,Neutral,Above 2 Billion,No,No,None,High,Low,Medium,High,NoGo
Medina,Challenging,Feasible,Neutral,150 - 200 Million,Yes,No,Major,Medium,Low,High,Low,Go
Tabuk,Feasible,Feasible,Favorable,700 - 800 Million,No,Yes,Minor,High,Low,Low,High,Go
Jeddah,Unfeasible,Feasible,Neutral,10 - 50 Millions,Yes,Yes,Major,High,Medium,Medium,Medium,NoGo
Riyadh,Feasible,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Medium,High,High,High,Go
Abha,Feasible,Feasible,Favorable,100 - 150 Million,Yes,No,Minor,Medium,High,High,High,Go
Medina,Unfeasible,Feasible,Favorable,100 - 150 Million,Yes,Yes,Minor,Low,Medium,High,High,Go
Jeddah,Feasible,Feasible,Favorable,Above 2 Billion,Yes,Yes,Minor,Medium,Medium,Low,Medium,Go
Riyadh,Feasible,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Medium,Medium,Medium,Medium,Go
Al Kharj,Unfeasible,Feasible,Favorable,50 - 100 Million,No,Yes,Major,Medium,Low,Medium,High,Go
Al Jubail,Feasible,Feasible,Favorable,150 - 200 Million,Yes,No,Major,High,Low,Low,High,NoGo
Jeddah,Feasible,Feasible,Favorable,100 - 150 Million,Yes,Yes,Major,Low,Low,Medium,Medium,Go
Hofuf,Unfeasible,Unfeasible,Neutral,Less than 10 Million,No,No,Major,High,Low,Low,Low,NoGo
Riyadh,Unfeasible,Feasible,Favorable,300 - 400 Million,Yes,Yes,Major,Medium,Medium,Medium,Low,Go
Medina,Challenging,Challenging,Favorable,Above 2 Billion,No,Yes,Minor,Medium,Low,High,Medium,Go
Tabuk,Challenging,Challenging,Favorable,Above 2 Billion,No,Yes,Minor,High,High,Low,High,Go
Medina,Unfeasible,Feasible,Neutral,Above 2 Billion,No,Yes,Major,Medium,Low,Medium,Low,NoGo
Riyadh,Challenging,Feasible,Favorable,300 - 400 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Medina,Unfeasible,Unfeasible,Neutral,Above 2 Billion,No,Yes,None,Medium,Low,High,Medium,NoGo
Jeddah,Challenging,Feasible,Neutral,Less than 10 Million,No,Yes,Major,Medium,Medium,Medium,High,NoGo
Medina,Unfeasible,Unfeasible,Neutral,700 - 800 Million,No,No,Minor,High,Medium,Medium,Medium,NoGo
Riyadh,Unfeasible,Unfeasible,Neutral,700 - 800 Million,No,Yes,Minor,High,Low,Low,Medium,NoGo
Medina,Challenging,Feasible,Favorable,200 - 300 Million,Yes,Yes,Minor,Medium,Medium,Medium,Low,Go
Abha,Unfeasible,Challenging,Favorable,600 - 700 Million,Yes,Yes,Minor,Medium,Medium,Medium,Medium,Go
Abha,Challenging,Feasible,Neutral,Less than 10 Million,No,Yes,Major,Medium,Low,Low,Low,NoGo
Tabuk,Challenging,Feasible,Favorable,10 - 50 Millions,Yes,Yes,Major,Medium,Low,Low,High,Go
Dammam,Unfeasible,Unfeasible,Neutral,400 - 500 Million,Yes,No,Minor,High,Low,Medium,Medium,NoGo
Riyadh,Feasible,Challenging,Favorable,700 - 800 Million,No,Yes,Minor,Low,Medium,High,High,Go
Dammam,Challenging,Feasible,Favorable,150 - 200 Million,Yes,Yes,Major,Medium,Medium,High,Low,Go
Medina,Unfeasible,Unfeasible,Neutral,400 - 500 Million,Yes,No,Major,High,Low,Medium,Medium,NoGo
Medina,Unfeasible,Unfeasible,Unfavorable,150 - 200 Million,Yes,No,Major,High,Low,Low,Low,NoGo
Riyadh,Unfeasible,Feasible,Unfavorable,400 - 500 Million,Yes,Yes,Minor,Low,Medium,Medium,Low,Go
Abha,Challenging,Challenging,Unfavorable,Above 2 Billion,No,Yes,None,Medium,Low,Low,Medium,Go
Tabuk,Feasible,Challenging,Unfavorable,Above 2 Billion,No,Yes,None,High,Low,High,Medium,Go
Dammam,Challenging,Challenging,Unfavorable,Above 2 Billion,No,Yes,Minor,Medium,Medium,Medium,High,Go
Dammam,Challenging,Feasible,Unfavorable,10 - 50 Millions,Yes,Yes,None,Low,Medium,High,High,Go
Qassim,Feasible,Feasible,Favorable,300 - 400 Million,Yes,Yes,Major,Low,Low,Low,Medium,Go
Riyadh,Challenging,Feasible,Favorable,100 - 150 Million,Yes,Yes,Minor,Medium,Low,Low,Low,Go
Dammam,Feasible,Challenging,Favorable,Above 2 Billion,No,Yes,Minor,Medium,High,High,High,Go
Medina,Challenging,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Low,Medium,Medium,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,Yes,Minor,Medium,High,Low,Low,NoGo
Riyadh,Feasible,Challenging,Favorable,Above 2 Billion,No,Yes,Major,High,Medium,Medium,Medium,Go
Tabuk,Unfeasible,Unfeasible,Unfavorable,50 - 100 Million,No,Yes,Major,High,Low,Medium,Low,NoGo
Dammam,Feasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Medium,High,Medium,NoGo
Medina,Challenging,Unfeasible,Unfavorable,Above 2 Billion,No,No,Major,High,Medium,Medium,Low,NoGo
Al Jubail,Challenging,Feasible,Unfavorable,Above 2 Billion,Yes,No,Minor,Medium,Low,Low,Medium,NoGo
Tabuk,Unfeasible,Challenging,Favorable,Above 2 Billion,No,Yes,Major,High,High,High,High,Go
Dammam,Challenging,Challenging,Favorable,800 - 900 Million,Yes,Yes,None,Low,High,Medium,High,Go
Dammam,Challenging,Challenging,Favorable,900 - 1000 Million,Yes,Yes,Minor,Low,High,Low,High,Go
Riyadh,Unfeasible,Feasible,Unfavorable,Above 2 Billion,No,Yes,Major,Medium,Low,Low,Low,NoGo
Riyadh,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Medium,Medium,Medium,NoGo
Dammam,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,Medium,High,Medium,Go
Qassim,Unfeasible,Unfeasible,Unfavorable,800 - 900 Million,No,No,Minor,High,Low,Medium,Medium,NoGo
Dammam,Feasible,Feasible,Favorable,50 - 100 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Tabuk,Challenging,Feasible,Favorable,150 - 200 Million,Yes,Yes,Major,Medium,Low,Medium,Low,Go
Hofuf,Feasible,Challenging,Favorable,Above 2 Billion,Yes,Yes,Major,High,Medium,High,Medium,Go
Dammam,Challenging,Challenging,Favorable,900 - 1000 Million,Yes,Yes,None,High,High,Medium,High,Go
Riyadh,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,Medium,Low,Low,Medium,NoGo
Abha,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Major,High,Low,Medium,Medium,NoGo
Al Kharj,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Low,Medium,Medium,NoGo
Hofuf,Challenging,Challenging,Favorable,Above 2 Billion,No,Yes,Minor,High,Low,High,Medium,Go
Yanbu,Unfeasible,Feasible,Unfavorable,Above 2 Billion,No,No,Major,Medium,Low,Low,Medium,NoGo
Dammam,Feasible,Unfeasible,Unfavorable,Above 2 Billion,No,Yes,Minor,High,High,Medium,High,NoGo
Riyadh,Feasible,Challenging,Favorable,700 - 800 Million,No,Yes,Minor,High,High,Medium,High,Go
Tabuk,Feasible,Challenging,Favorable,600 - 700 Million,Yes,Yes,None,Low,Low,High,High,Go
Riyadh,Unfeasible,Feasible,Favorable,10 - 50 Millions,Yes,Yes,Minor,Medium,Medium,Medium,Medium,Go
Yanbu,Unfeasible,Unfeasible,Unfavorable,10 - 50 Millions,Yes,No,Minor,High,Low,Medium,Low,NoGo
Medina,Unfeasible,Feasible,Favorable,200 - 300 Million,Yes,Yes,Minor,Medium,Medium,Medium,Low,Go
Riyadh,Challenging,Feasible,Favorable,200 - 300 Million,Yes,Yes,None,Medium,High,Low,High,Go
Medina,Unfeasible,Feasible,Favorable,50 - 100 Million,No,Yes,Minor,Low,Medium,High,High,Go
Khobar,Unfeasible,Challenging,Favorable,600 - 700 Million,Yes,Yes,Major,Medium,Medium,Medium,High,Go
Tabuk,Unfeasible,Unfeasible,Unfavorable,50 - 100 Million,No,Yes,Minor,High,Low,Medium,Low,NoGo
Tabuk,Unfeasible,Feasible,Unfavorable,50 - 100 Million,Yes,No,Minor,Medium,Medium,Medium,Low,NoGo
Dammam,Unfeasible,Challenging,Favorable,600 - 700 Million,Yes,Yes,Major,Medium,Medium,Medium,High,Go
Dammam,Unfeasible,Unfeasible,Unfavorable,Less than 10 Million,No,No,Minor,High,Medium,Medium,Medium,NoGo
Khobar,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Low,Medium,Medium,NoGo
Tabuk,Unfeasible,Unfeasible,Unfavorable,900 - 1000 Million,No,No,Major,High,Low,Medium,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,700 - 800 Million,No,Yes,Minor,High,Medium,Low,Medium,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,100 - 150 Million,Yes,No,Major,High,Low,Medium,Low,NoGo
Riyadh,Unfeasible,Unfeasible,Unfavorable,900 - 1000 Million,No,Yes,Major,High,Medium,Medium,Low,NoGo
Riyadh,Unfeasible,Feasible,Favorable,300 - 400 Million,Yes,Yes,Major,Medium,Medium,Medium,Low,Go
Medina,Unfeasible,Unfeasible,Unfavorable,700 - 800 Million,No,No,Minor,High,Medium,Medium,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,400 - 500 Million,Yes,No,Minor,High,Low,Medium,Medium,NoGo
Medina,Unfeasible,Unfeasible,Unfavorable,400 - 500 Million,Yes,No,Major,High,Low,Medium,Medium,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,800 - 900 Million,No,No,Minor,High,Low,Medium,Medium,NoGo
Abha,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Major,High,Low,Medium,Medium,NoGo
Yanbu,Unfeasible,Unfeasible,Unfavorable,10 - 50 Millions,Yes,No,Minor,High,Low,Medium,Low,NoGo
Tabuk,Unfeasible,Unfeasible,Unfavorable,50 - 100 Million,No,Yes,Minor,High,Low,Medium,Low,NoGo
Dammam,Unfeasible,Challenging,Favorable,600 - 700 Million,Yes,Yes,Major,Medium,Medium,Medium,High,Go
Dammam,Unfeasible,Unfeasible,Unfavorable,Less than 10 Million,No,No,Minor,High,Medium,Medium,Medium,NoGo
Khobar,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Low,Medium,Medium,NoGo
Tabuk,Unfeasible,Unfeasible,Unfavorable,900 - 1000 Million,No,No,Major,High,Low,Medium,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,700 - 800 Million,No,Yes,Minor,High,Medium,Low,Medium,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,100 - 150 Million,Yes,No,Major,High,Low,Medium,Low,NoGo
Riyadh,Unfeasible,Unfeasible,Unfavorable,900 - 1000 Million,No,Yes,Major,High,Medium,Medium,Low,NoGo
Riyadh,Unfeasible,Feasible,Favorable,300 - 400 Million,Yes,Yes,Major,Medium,Medium,Medium,Low,Go
Medina,Unfeasible,Unfeasible,Unfavorable,700 - 800 Million,No,No,Minor,High,Medium,Medium,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,400 - 500 Million,Yes,No,Minor,High,Low,Medium,Medium,NoGo
Medina,Unfeasible,Unfeasible,Unfavorable,400 - 500 Million,Yes,No,Major,High,Low,Medium,Medium,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,800 - 900 Million,No,No,Minor,High,Low,Medium,Medium,NoGo
Abha,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Major,High,Low,Medium,Medium,NoGo
Yanbu,Unfeasible,Unfeasible,Unfavorable,10 - 50 Millions,Yes,No,Minor,High,Low,Medium,Low,NoGo
Tabuk,Unfeasible,Unfeasible,Unfavorable,50 - 100 Million,No,Yes,Minor,High,Low,Medium,Low,NoGo
Dammam,Unfeasible,Challenging,Favorable,600 - 700 Million,Yes,Yes,Major,Medium,Medium,Medium,High,Go
Dammam,Unfeasible,Unfeasible,Unfavorable,Less than 10 Million,No,No,Minor,High,Medium,Medium,Medium,NoGo
Khobar,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Low,Medium,Medium,NoGo
Tabuk,Unfeasible,Unfeasible,Unfavorable,900 - 1000 Million,No,No,Major,High,Low,Medium,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,700 - 800 Million,No,Yes,Minor,High,Medium,Low,Medium,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,100 - 150 Million,Yes,No,Major,High,Low,Medium,Low,NoGo
Riyadh,Unfeasible,Unfeasible,Unfavorable,900 - 1000 Million,No,Yes,Major,High,Medium,Medium,Low,NoGo
Riyadh,Unfeasible,Feasible,Favorable,300 - 400 Million,Yes,Yes,Major,Medium,Medium,Medium,Low,Go
Medina,Unfeasible,Unfeasible,Unfavorable,700 - 800 Million,No,No,Minor,High,Medium,Medium,Medium,NoGo
Dammam,Unfeasible,Unfeasible,Unfavorable,400 - 500 Million,Yes,No,Minor,High,Low,Medium,Medium,NoGo
Medina,Unfeasible,Unfeasible,Unfavorable,400 - 500 Million,Yes,No,Major,High,Low,Medium,Medium,NoGo
Qassim,Unfeasible,Challenging,Favorable,800 - 900 Million,No,No,Minor,High,Low,Medium,Medium,Go
Abha,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Major,High,Low,Medium,Medium,NoGo
Yanbu,Unfeasible,Unfeasible,Unfavorable,10 - 50 Millions,Yes,No,Minor,High,Low,Medium,Low,NoGo
Tabuk,Unfeasible,Unfeasible,Unfavorable,50 - 100 Million,No,Yes,Minor,High,Low,Medium,Low,NoGo
Yanbu,Unfeasible,Unfeasible,Unfavorable,50 - 100 Million,No,No,Minor,High,Medium,Medium,Low,NoGo
Qassim,Unfeasible,Feasible,Unfavorable,50 - 100 Million,Yes,No,Minor,Medium,Medium,Medium,Medium,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,800 - 900 Million,No,No,Minor,High,Low,Medium,Medium,NoGo
Yanbu,Unfeasible,Feasible,Unfavorable,Above 2 Billion,No,No,Major,Medium,Low,Low,Medium,NoGo
Yanbu,Unfeasible,Unfeasible,Unfavorable,10 - 50 Millions,Yes,No,Minor,High,Low,Medium,Low,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,800 - 900 Million,No,No,Minor,High,Low,Medium,Medium,NoGo
Yanbu,Unfeasible,Unfeasible,Unfavorable,10 - 50 Millions,Yes,No,Minor,High,Low,Medium,Low,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,800 - 900 Million,No,No,Minor,High,Low,Medium,Medium,NoGo
Yanbu,Unfeasible,Unfeasible,Unfavorable,10 - 50 Millions,Yes,No,Minor,High,Low,Medium,Low,NoGo
Qassim,Unfeasible,Unfeasible,Unfavorable,800 - 900 Million,No,No,Minor,High,Low,Medium,Medium,NoGo
Yanbu,Unfeasible,Unfeasible,Unfavorable,10 - 50 Millions,Yes,No,Minor,High,Low,Medium,Low,NoGo
Riyadh,Feasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,Minor,Medium,High,High,High,Go
Medina,Feasible,Feasible,Favorable,50 - 100 Million,No,Yes,Minor,Medium,High,High,Medium,Go
Riyadh,Feasible,Feasible,Favorable,10 - 50 Millions,Yes,Yes,Minor,Low,Low,Medium,Low,Go
Medina,Feasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,None,Medium,Low,High,Medium,Go
Dammam,Feasible,Challenging,Favorable,500 - 600 Million,Yes,Yes,Major,Medium,Low,High,High,Go
Dammam,Feasible,Feasible,Favorable,100 - 150 Million,Yes,Yes,Minor,Medium,High,Medium,High,Go
Dammam,Feasible,Feasible,Favorable,100 - 150 Million,Yes,Yes,Minor,Medium,Medium,Low,Low,Go
Riyadh,Feasible,Challenging,Favorable,800 - 900 Million,Yes,Yes,Minor,High,Medium,Low,High,Go
Riyadh,Feasible,Feasible,Favorable,150 - 200 Million,Yes,Yes,None,Medium,High,Medium,Medium,Go
Riyadh,Feasible,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Medium,High,High,High,Go
Riyadh,Feasible,Feasible,Favorable,100 - 150 Million,Yes,Yes,None,Medium,Medium,Medium,Medium,Go
Riyadh,Feasible,Challenging,Favorable,700 - 800 Million,Yes,Yes,Minor,Low,Medium,High,High,Go
Qassim,Feasible,Feasible,Neutral,300 - 400 Million,Yes,Yes,Major,Low,Low,Low,Medium,Go
Dammam,Feasible,Challenging,Neutral,Above 2 Billion,Yes,Yes,Minor,Medium,High,High,High,Go
Riyadh,Feasible,Challenging,Neutral,Above 2 Billion,Yes,Yes,Major,High,Medium,Medium,Medium,Go
Dammam,Feasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Medium,High,Medium,NoGo
Dammam,Feasible,Feasible,Neutral,50 - 100 Million,Yes,Yes,Minor,Medium,Medium,High,Medium,Go
Dammam,Feasible,Unfeasible,Unfavorable,Above 2 Billion,No,Yes,Minor,High,High,Medium,High,NoGo
Riyadh,Feasible,Challenging,Neutral,700 - 800 Million,Yes,Yes,Minor,High,High,Medium,High,Go
Riyadh,Challenging,Feasible,Neutral,400 - 500 Million,Yes,Yes,None,Low,Medium,Low,Low,Go
Medina,Challenging,Challenging,Neutral,900 - 1000 Million,Yes,Yes,Minor,Low,Low,Low,High,Go
Riyadh,Challenging,Feasible,Neutral,300 - 400 Million,Yes,Yes,Minor,Low,Low,High,Medium,Go
Dammam,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,Major,Medium,High,Medium,High,Go
Riyadh,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,None,Medium,High,High,Low,Go
Dammam,Challenging,Challenging,Neutral,Above 2 Billion,Yes,Yes,Minor,High,Low,High,Medium,Go
Qassim,Challenging,Feasible,Neutral,100 - 150 Million,Yes,Yes,None,Medium,High,Medium,Low,Go
Qassim,Challenging,Challenging,Neutral,Above 2 Billion,Yes,Yes,Major,High,Medium,High,Medium,Go
Medina,Challenging,Challenging,Neutral,Above 2 Billion,Yes,Yes,Major,Medium,Low,Low,High,Go
Dammam,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,None,Medium,Medium,Medium,High,Go
Riyadh,Challenging,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,Medium,Low,Medium,Medium,NoGo
Medina,Challenging,Feasible,Neutral,200 - 300 Million,Yes,Yes,Major,Medium,Medium,Medium,Medium,Go
Dammam,Challenging,Feasible,Neutral,10 - 50 Millions,Yes,Yes,None,Medium,High,Low,High,Go
Riyadh,Challenging,Feasible,Neutral,Less than 10 Million,Yes,Yes,Minor,Medium,Medium,Medium,High,Go
Medina,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,None,Medium,Medium,Medium,Low,Go
Riyadh,Challenging,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,Low,High,Low,NoGo
Medina,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,Major,Medium,Low,High,Low,Go
Medina,Challenging,Challenging,Neutral,Above 2 Billion,Yes,Yes,Minor,Medium,Low,High,Medium,Go
Riyadh,Challenging,Feasible,Neutral,300 - 400 Million,Yes,Yes,None,Medium,High,High,Medium,Go
Medina,Challenging,Feasible,Neutral,200 - 300 Million,Yes,Yes,Minor,Medium,Medium,Medium,Low,Go
Dammam,Challenging,Feasible,Neutral,150 - 200 Million,Yes,Yes,Major,Medium,Medium,High,Low,Go
Dammam,Challenging,Challenging,Neutral,Above 2 Billion,Yes,Yes,Minor,Medium,Medium,Medium,High,Go
Dammam,Challenging,Feasible,Neutral,10 - 50 Millions,Yes,Yes,None,Low,Medium,High,High,Go
Riyadh,Challenging,Feasible,Neutral,100 - 150 Million,Yes,Yes,Minor,Medium,Low,Low,Low,Go
Dammam,Challenging,Challenging,Neutral,800 - 900 Million,Yes,Yes,None,Low,High,Medium,High,Go
Dammam,Challenging,Challenging,Neutral,900 - 1000 Million,Yes,Yes,Major,Low,High,Low,High,Go
Dammam,Challenging,Challenging,Neutral,900 - 1000 Million,Yes,No,None,High,High,Medium,High,Go
Riyadh,Challenging,Feasible,Neutral,200 - 300 Million,Yes,Yes,None,Medium,High,Low,High,Go
Medina,Feasible,Challenging,Neutral,Above 2 Billion,No,Yes,None,Medium,High,High,High,Go
Abha,Feasible,Feasible,Neutral,50 - 100 Million,No,Yes,None,Low,Low,High,High,Go
Qassim,Feasible,Challenging,Neutral,800 - 900 Million,No,Yes,None,Low,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,300 - 400 Million,Yes,Yes,None,Low,Medium,High,High,Go
Dammam,Feasible,Feasible,Neutral,100 - 150 Million,Yes,Yes,None,Low,High,High,High,Go
Medina,Feasible,Feasible,Neutral,Above 2 Billion,No,Yes,None,Medium,High,High,High,Go
Qassim,Feasible,Challenging,Neutral,800 - 900 Million,No,Yes,None,Low,High,High,High,Go
Riyadh,Feasible,Feasible,Neutral,300 - 400 Million,Yes,Yes,None,Low,Medium,High,High,Go
Dammam,Feasible,Feasible,Neutral,100 - 150 Million,Yes,Yes,None,Low,High,High,High,Go
Medina,Feasible,Challenging,Neutral,Above 2 Billion,No,Yes,None,Medium,High,High,High,Go
Tabuk,Unfeasible,Unfeasible,Unfavorable,Above 2 Billion,No,No,Minor,High,High,Medium,Medium,NoGo
Medina,Challenging,Feasible,Neutral,100 - 150 Million,Yes,Yes,Minor,Low,Medium,High,High,Go
Qassim,Challenging,Feasible,Neutral,10 - 50 Millions,Yes,Yes,Minor,Medium,Medium,Medium,Medium,Go
Riyadh,Feasible,Feasible,Neutral,150 - 200 Million,Yes,Yes,Minor,Medium,Medium,High,Low,Go
Riyadh,Feasible,Unfeasible,Neutral,50 - 100 Million,Yes,No,Major,High,Medium,Low,Medium,NoGo
