Project Type,Project Scope Complexity,Project Location,Technical Feasibility,Financial Feasibility,Bid Bond or Guarantee,Contract Terms,Project Timeline Months,Project Budget,Relevant Experience,Internal Resources Available,Subcontractors Work,Partner or Joint Venture,Regulatory Issues,Risk Level,Outcome of Risks,Market Demand,Client Reliability,Strategic Alignment,Long Term Impact,Initial Go NoGo Decision
Infrastructure Development,Low,Riyadh,Challenging,Feasible,No,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Low,Mitigated,High,High,High,Medium,Go
Infrastructure Development,Low,Eastern Province,Challenging,Feasible,No,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,Low,Medium,Go
Infrastructure Development,Low,Jeddah,Challenging,Feasible,No,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Low,Mitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Arar ,Challenging,Feasible,No,Favorable,24 - 36 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,Medium,High,Go
Rehabilitation & Repair,Medium,Riyadh,Challenging,Feasible,No,Favorable,Less than 6  Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Medium,Al Madinah,Challenging,Feasible,No,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,Medium,High,Go
Rehabilitation & Repair,Medium,Jeddah,Challenging,Feasible,No,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Medium,Al Madinah,Challenging,Feasible,No,Favorable,36 - 48 Months,100 - 150 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,High,Low,Go
"Roads, Highways, and Bridges Construction",Medium,Eastern Province,Challenging,Feasible,No,Favorable,24 - 36 Months,100 - 150 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,High,Medium,Go
Infrastructure Development,Medium,Eastern Province,Challenging,Feasible,No,Favorable,12 - 24 Months,50 - 100 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Medium,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Al Madinah,Challenging,Feasible,No,Neutral,12 - 24 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Challenging,Feasible,No,Neutral,Less than 6  Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Medium,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,No,Neutral,12 - 24 Months,100 - 150 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,No,Neutral,Less than 6  Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Eastern Province,Challenging,Feasible,No,Neutral,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,Medium,High,Go
Maintenance Work,Low,Yanbu,Feasible,Feasible,No,Neutral,6 - 12 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Feasible,Feasible,Yes,Neutral,24 - 36 Months,600 - 700 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Feasible,Feasible,No,Neutral,6 - 12 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Qassim,Feasible,Feasible,No,Neutral,12 - 24 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,High,Low,Go
Rehabilitation & Repair,Low,Jeddah,Feasible,Feasible,No,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Feasible,Feasible,No,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Hail,Feasible,Feasible,No,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Mitigated,High,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Hail,Feasible,Feasible,No,Neutral,6 - 12 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Low,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Feasible,Feasible,No,Neutral,Above  48 Months,10 - 50 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Medium,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Al Baha,Feasible,Feasible,No,Neutral,12 - 24 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Majma,Feasible,Feasible,Yes,Neutral,12 - 24 Months,600 - 700 Million,Yes,Yes,Yes,Yes,None,Medium,Mitigated,High,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Feasible,Feasible,Yes,Neutral,36 - 48 Months,500 - 600 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Eastern Province,Feasible,Feasible,Yes,Neutral,24 - 36 Months,500 - 600 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,Low,High,Go
Infrastructure Development,Low,Riyadh,Challenging,Feasible,Yes,Favorable,24 - 36 Months,400 - 500 Million,Yes,No,No,No,None,Low,Mitigated,Medium,Low,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Tabuk,Unfeasible,Feasible,Yes,Favorable,6 - 12 Months,150 - 200 Million,Yes,Yes,Yes,No,Minor,Medium,Mitigated,Low,Medium,High,Low,Go
"Roads, Highways, and Bridges Construction",Low,Medina,Challenging,Challenging,Yes,Favorable,24 - 36 Months,900 - 1000 Million,Yes,Yes,No,Yes,Minor,High,Mitigated,Low,Low,High,Medium,Go
Infrastructure Development,High ,Tabuk,Unfeasible,Feasible,Yes,Unfavorable,36 - 48 Months,Above 2 Billion,No,No,Yes,Yes,Major,Medium,Unmitigated,Low,Medium,Low,Medium,NoGo
Infrastructure Development,High ,Riyadh,Unfeasible,Feasible,Yes,Unfavorable,24 - 36 Months,900 - 1000 Million,No,Yes,No,Yes,Minor,Medium,Unmitigated,Medium,Medium,Medium,Medium,NoGo
Buildings Construction,Low,Tabuk,Challenging,Unfeasible,Yes,Unfavorable,36 - 48 Months,Above 2 Billion,No,Yes,No,Yes,Major,High,Unmitigated,High,Medium,Low,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Riyadh,Feasible,Feasible,Yes,Favorable,24 - 36 Months,150 - 200 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,High,Medium,Go
Buildings Construction,Medium,Riyadh,Unfeasible,Unfeasible,Yes,Unfavorable,36 - 48 Months,Above 2 Billion,No,No,Yes,Yes,Major,High,Mitigated,Medium,Low,Medium,Medium,NoGo
Piling and Deep Foundation,High ,Medina,Unfeasible,Unfeasible,Yes,Unfavorable,Less than 6  Months,100 - 150 Million,Yes,No,Yes,No,Major,High,Mitigated,Low,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Low,Qassim,Feasible,Feasible,Yes,Favorable,6 - 12 Months,10 - 50 Millions,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Medina,Feasible,Feasible,Yes,Favorable,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,Medium,High,Go
Drainage and Stormwater Construction,Low,Mecca,Unfeasible,Feasible,Yes,Favorable,6 - 12 Months,50 - 100 Million,No,Yes,No,No,None,High,Mitigated,Medium,High,High,Medium,Go
Infrastructure Development,High ,Jeddah,Unfeasible,Feasible,Yes,Unfavorable,12 - 24 Months,700 - 800 Million,No,Yes,Yes,No,Major,Medium,Unmitigated,Low,Medium,Medium,Low,NoGo
Infrastructure Development,Medium,Dammam,Unfeasible,Challenging,Yes,Favorable,12 - 24 Months,600 - 700 Million,Yes,Yes,Yes,No,Major,Medium,Mitigated,Medium,Medium,High,Medium,Go
Infrastructure Development,Low,Riyadh,Challenging,Feasible,Yes,Favorable,24 - 36 Months,300 - 400 Million,Yes,Yes,No,No,Minor,Low,Mitigated,Low,High,Medium,Low,Go
Piling and Deep Foundation,Medium,Dammam,Challenging,Unfeasible,Yes,Unfavorable,Less than 6  Months,50 - 100 Million,Yes,No,Yes,No,Major,High,Mitigated,Low,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Riyadh,Feasible,Feasible,Yes,Favorable,Less than 6  Months,10 - 50 Millions,Yes,Yes,No,No,Minor,Low,Mitigated,Low,Medium,Low,Medium,Go
Infrastructure Development,Low,Medina,Unfeasible,Feasible,Yes,Favorable,12 - 24 Months,150 - 200 Million,Yes,Yes,No,No,Major,Low,Mitigated,Medium,High,Low,High,Go
"Roads, Highways, and Bridges Construction",Low,Mecca,Unfeasible,Feasible,Yes,Favorable,6 - 12 Months,50 - 100 Million,No,Yes,No,No,Minor,Medium,Mitigated,High,Medium,High,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Riyadh,Unfeasible,Feasible,Yes,Neutral,24 - 36 Months,100 - 150 Million,Yes,Yes,Yes,No,Major,Medium,Mitigated,Medium,Medium,Low,Medium,Go
Infrastructure Development,High ,Tabuk,Unfeasible,Feasible,Yes,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,No,Yes,Major,Medium,Unmitigated,Medium,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",Low,Dammam,Challenging,Feasible,No,Neutral,24 - 36 Months,150 - 200 Million,Yes,Yes,No,No,Major,Medium,Mitigated,High,Medium,High,Medium,Go
Infrastructure Development,Low,Medina,Feasible,Feasible,No,Neutral,6 - 12 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,Low,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Dammam,Feasible,Challenging,Yes,Neutral,24 - 36 Months,500 - 600 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Low,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Abha,Unfeasible,Unfeasible,No,Unfavorable,36 - 48 Months,Above 2 Billion,No,Yes,No,Yes,None,High,Mitigated,Medium,Medium,High,High,NoGo
Buildings Construction,High ,Riyadh,Challenging,Unfeasible,No,Unfavorable,24 - 36 Months,100 - 150 Million,Yes,No,Yes,No,Major,High,Mitigated,Low,Medium,Medium,Low,NoGo
Buildings Construction,High ,Medina,Unfeasible,Unfeasible,No,Unfavorable,36 - 48 Months,Above 2 Billion,No,No,Yes,Yes,Major,High,Mitigated,Medium,Low,Medium,Medium,NoGo
Buildings Construction,Medium,Riyadh,Challenging,Feasible,No,Neutral,12 - 24 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Tabuk,Unfeasible,Feasible,No,Neutral,Less than 6  Months,10 - 50 Millions,Yes,Yes,No,No,Minor,Medium,Mitigated,Low,Medium,High,Low,Go
Infrastructure Development,Medium,Tabuk,Challenging,Feasible,Yes,Unfavorable,36 - 48 Months,700 - 800 Million,No,Yes,Yes,Yes,Minor,Medium,Mitigated,Low,Medium,Low,Low,NoGo
Infrastructure Development,Medium,Dammam,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,400 - 500 Million,Yes,No,Yes,No,Minor,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Dammam,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,No,Yes,Minor,High,Mitigated,Medium,Low,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Dammam,Unfeasible,Unfeasible,No,Unfavorable,Less than 6  Months,Less than 10 Million,No,No,Yes,No,Minor,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Unfeasible,Feasible,No,Unfavorable,36 - 48 Months,Above 2 Billion,No,Yes,No,Yes,Major,Medium,Mitigated,Medium,Medium,Medium,Medium,NoGo
Buildings Construction,High ,Riyadh,Challenging,Unfeasible,Yes,Unfavorable,24 - 36 Months,600 - 700 Million,No,No,No,Yes,Minor,High,Mitigated,Medium,Low,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",Medium,Khobar,Unfeasible,Unfeasible,No,Unfavorable,36 - 48 Months,Above 2 Billion,No,No,No,Yes,Minor,High,Mitigated,Low,Medium,Medium,Medium,NoGo
Buildings Construction,High ,Riyadh,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,Yes,Yes,Major,High,Mitigated,Low,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Medina,Unfeasible,Unfeasible,No,Unfavorable,24 - 36 Months,150 - 200 Million,Yes,No,Yes,No,Minor,High,Mitigated,Low,Medium,Low,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Tabuk,Challenging,Challenging,Yes,Neutral,24 - 36 Months,Above 2 Billion,No,Yes,No,Yes,None,Medium,Mitigated,High,Low,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Dammam,Challenging,Challenging,Yes,Neutral,12 - 24 Months,Above 2 Billion,Yes,Yes,No,Yes,Minor,High,Mitigated,Low,High,Medium,Low,Go
Infrastructure Development,High ,Medina,Unfeasible,Unfeasible,Yes,Unfavorable,12 - 24 Months,Less than 10 Million,No,Yes,No,No,Minor,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
Infrastructure Development,High ,Medina,Unfeasible,Feasible,Yes,Unfavorable,36 - 48 Months,700 - 800 Million,No,Yes,No,No,Minor,Medium,Unmitigated,Medium,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Unfeasible,Unfeasible,Yes,Unfavorable,24 - 36 Months,700 - 800 Million,No,Yes,No,No,Major,High,Mitigated,Low,Low,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Tabuk,Unfeasible,Unfeasible,Yes,Unfavorable,24 - 36 Months,900 - 1000 Million,No,No,No,Yes,Major,High,Mitigated,Low,Medium,Medium,Low,NoGo
Piling and Deep Foundation,High ,Medina,Unfeasible,Feasible,Yes,Unfavorable,Less than 6  Months,100 - 150 Million,Yes,No,No,No,Major,Medium,Mitigated,Low,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Yanbu,Challenging,Feasible,Yes,Unfavorable,36 - 48 Months,50 - 100 Million,No,Yes,Yes,Yes,Major,Medium,Unmitigated,Low,Medium,Medium,Low,NoGo
Drainage and Stormwater Construction,High ,Dammam,Unfeasible,Unfeasible,Yes,Unfavorable,24 - 36 Months,700 - 800 Million,No,Yes,No,No,Minor,High,Mitigated,Medium,Low,Medium,Low,NoGo
Drainage and Stormwater Construction,High ,Riyadh,Unfeasible,Feasible,Yes,Unfavorable,12 - 24 Months,100 - 150 Million,Yes,No,No,No,Minor,Medium,Unmitigated,Low,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Unfeasible,Unfeasible,Yes,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,Yes,Yes,Minor,High,Mitigated,Low,Medium,Medium,Low,NoGo
Buildings Construction,High ,Hofuf,Challenging,Unfeasible,Yes,Unfavorable,24 - 36 Months,Above 2 Billion,No,No,Yes,Yes,Minor,Medium,Unmitigated,Low,Low,Low,Medium,NoGo
Construction Materials,High ,Dammam,Challenging,Unfeasible,Yes,Unfavorable,36 - 48 Months,900 - 1000 Million,No,No,No,Yes,Minor,High,Mitigated,Low,Medium,Low,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Unfeasible,Feasible,Yes,Neutral,6 - 12 Months,150 - 200 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Low,Medium,Low,Low,Go
Construction Materials,Medium,Khobar,Challenging,Feasible,Yes,Neutral,6 - 12 Months,50 - 100 Million,Yes,Yes,No,No,Major,High,Mitigated,Low,Low,High,Low,Go
"Roads, Highways, and Bridges Construction",High ,Qassim,Unfeasible,Unfeasible,Yes,Unfavorable,24 - 36 Months,100 - 150 Million,Yes,No,No,No,Major,High,Mitigated,Low,Medium,Low,Low,NoGo
Piling and Deep Foundation,High ,Tabuk,Feasible,Unfeasible,Yes,Unfavorable,Less than 6  Months,100 - 150 Million,No,Yes,Yes,Yes,Major,Medium,Unmitigated,Low,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Dammam,Unfeasible,Unfeasible,Yes,Unfavorable,36 - 48 Months,50 - 100 Million,No,No,No,Yes,Major,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Khobar,Feasible,Feasible,Yes,Neutral,24 - 36 Months,100 - 150 Million,Yes,Yes,No,No,None,Low,Mitigated,Low,High,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Medium,Qassim,Challenging,Feasible,Yes,Neutral,6 - 12 Months,100 - 150 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Medium,Low,High,Go
"Roads, Highways, and Bridges Construction",Low,Qassim,Challenging,Challenging,Yes,Neutral,24 - 36 Months,Above 2 Billion,Yes,Yes,No,Yes,Major,High,Mitigated,Medium,High,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Challenging,Challenging,Yes,Neutral,12 - 24 Months,Above 2 Billion,No,Yes,No,Yes,Major,Medium,Mitigated,Low,Low,High,Low,Go
"Roads, Highways, and Bridges Construction",High ,Abha,Challenging,Unfeasible,Yes,Neutral,36 - 48 Months,Above 2 Billion,No,No,No,Yes,Major,Medium,Unmitigated,Medium,Medium,Low,High,NoGo
Piling and Deep Foundation,High ,Yanbu,Unfeasible,Unfeasible,Yes,Neutral,Less than 6  Months,50 - 100 Million,No,No,No,Yes,Minor,High,Mitigated,Medium,Medium,Low,Medium,NoGo
Piling and Deep Foundation,High ,Tabuk,Challenging,Feasible,No,Neutral,Less than 6  Months,50 - 100 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Medium,Low,High,High,Go
"Roads, Highways, and Bridges Construction",High ,Dammam,Feasible,Feasible,Yes,Neutral,24 - 36 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,Medium,High,Low,Go
"Roads, Highways, and Bridges Construction",High ,Medina,Unfeasible,Feasible,Yes,Neutral,Less than 6  Months,10 - 50 Millions,Yes,Yes,No,No,None,Medium,Mitigated,Low,Low,Medium,Low,Go
"Roads, Highways, and Bridges Construction",High ,Al Jubail,Unfeasible,Feasible,No,Neutral,6 - 12 Months,150 - 200 Million,Yes,Yes,No,No,Major,Low,Mitigated,High,Medium,High,High,Go
Buildings Construction,High ,Dammam,Challenging,Feasible,No,Neutral,12 - 24 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,Medium,Medium,High,High,Go
Drainage and Stormwater Construction,High ,Tabuk,Unfeasible,Feasible,No,Neutral,Less than 6  Months,Less than 10 Million,No,No,No,No,Minor,Medium,Unmitigated,Low,Medium,Medium,Low,NoGo
Buildings Construction,Medium,Qassim,Unfeasible,Feasible,No,Neutral,12 - 24 Months,50 - 100 Million,Yes,No,No,No,Minor,Medium,Unmitigated,Medium,Medium,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Unfeasible,Feasible,No,Neutral,6 - 12 Months,400 - 500 Million,Yes,Yes,No,No,Minor,Low,Mitigated,Medium,Low,Low,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Riyadh,Challenging,Feasible,Yes,Neutral,36 - 48 Months,Above 2 Billion,No,No,No,Yes,None,Medium,Unmitigated,Low,High,High,Medium,NoGo
Drainage and Stormwater Construction,High ,Riyadh,Unfeasible,Feasible,Yes,Neutral,36 - 48 Months,900 - 1000 Million,No,Yes,Yes,Yes,Major,High,Mitigated,Medium,Medium,Low,Medium,NoGo
"Roads, Highways, and Bridges Construction",High ,Riyadh,Unfeasible,Feasible,No,Neutral,24 - 36 Months,Above 2 Billion,No,No,Yes,Yes,Major,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
Construction Materials,Medium,Medina,Challenging,Feasible,No,Neutral,12 - 24 Months,200 - 300 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Medium,Medium,Medium,Low,Go
Construction Materials,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,36 - 48 Months,800 - 900 Million,No,No,No,Yes,Minor,High,Mitigated,Medium,Low,Low,Medium,NoGo
Drainage and Stormwater Construction,High ,Dammam,Challenging,Feasible,No,Neutral,12 - 24 Months,10 - 50 Millions,Yes,Yes,No,No,None,Medium,Mitigated,High,Low,High,High,Go
"Roads, Highways, and Bridges Construction",High ,Dammam,Feasible,Feasible,No,Neutral,6 - 12 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,Medium,Low,Low,Low,Go
"Roads, Highways, and Bridges Construction",High ,Riyadh,Challenging,Feasible,No,Neutral,6 - 12 Months,Less than 10 Million,No,Yes,No,No,Minor,Medium,Mitigated,Medium,Medium,High,High,Go
Piling and Deep Foundation,Medium,Tabuk,Feasible,Feasible,No,Neutral,Less than 6  Months,50 - 100 Million,No,Yes,No,Yes,None,High,Mitigated,Medium,High,High,High,Go
Drainage and Stormwater Construction,High ,Yanbu,Challenging,Feasible,No,Neutral,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,None,Low,Mitigated,Low,Low,Low,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Riyadh,Unfeasible,Feasible,No,Neutral,12 - 24 Months,Above 2 Billion,No,Yes,Yes,Yes,Minor,High,Mitigated,Low,Medium,Low,Medium,NoGo
Buildings Construction,High ,Dammam,Unfeasible,Feasible,No,Neutral,Less than 6  Months,50 - 100 Million,Yes,No,Yes,No,Major,Medium,Mitigated,Medium,Medium,Medium,Low,NoGo
Drainage and Stormwater Construction,High ,Medina,Challenging,Feasible,No,Neutral,6 - 12 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,Medium,Medium,Low,High,Go
Design and Build,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,12 - 24 Months,Above 2 Billion,No,No,No,Yes,Minor,Medium,Unmitigated,Low,High,Low,High,NoGo
Design and Build,High ,Tabuk,Unfeasible,Feasible,No,Neutral,24 - 36 Months,Above 2 Billion,No,No,No,Yes,Major,Medium,Unmitigated,Medium,Medium,Low,Medium,NoGo
Drainage and Stormwater Construction,High ,Riyadh,Feasible,Feasible,Yes,Neutral,24 - 36 Months,800 - 900 Million,No,Yes,No,Yes,Minor,High,Mitigated,Medium,Low,High,High,Go
Drainage and Stormwater Construction,Medium,Riyadh,Feasible,Feasible,No,Neutral,12 - 24 Months,150 - 200 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Medium,Medium,Medium,Go
Design and Build,High ,Medina,Unfeasible,Feasible,No,Neutral,12 - 24 Months,Above 2 Billion,No,No,No,Yes,None,High,Unmitigated,Low,Medium,High,High,NoGo
"Roads, Highways, and Bridges Construction",Medium,Medina,Challenging,Feasible,No,Neutral,24 - 36 Months,150 - 200 Million,Yes,No,No,No,Major,Medium,Mitigated,Low,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Tabuk,Feasible,Feasible,No,Favorable,24 - 36 Months,700 - 800 Million,No,Yes,No,No,Minor,High,Mitigated,Low,Low,High,Medium,Go
Drainage and Stormwater Construction,Medium,Jeddah,Unfeasible,Feasible,No,Neutral,6 - 12 Months,10 - 50 Millions,Yes,Yes,No,No,Major,High,Mitigated,Medium,Medium,Medium,Low,NoGo
"Roads, Highways, and Bridges Construction",Low,Riyadh,Feasible,Feasible,No,Favorable,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Abha,Feasible,Feasible,No,Favorable,24 - 36 Months,100 - 150 Million,Yes,No,No,No,Minor,Medium,Mitigated,High,High,High,Medium,Go
Construction Materials,Low,Medina,Unfeasible,Feasible,No,Favorable,24 - 36 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Low,Mitigated,Medium,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Jeddah,Feasible,Feasible,No,Favorable,12 - 24 Months,Above 2 Billion,Yes,Yes,No,Yes,Minor,Medium,Mitigated,Medium,Low,Medium,Medium,Go
Construction Materials,Low,Riyadh,Feasible,Feasible,No,Favorable,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,None,Medium,Mitigated,Medium,Medium,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Kharj,Unfeasible,Feasible,No,Favorable,6 - 12 Months,50 - 100 Million,No,Yes,No,No,Major,Medium,Mitigated,Low,Medium,High,High,Go
Drainage and Stormwater Construction,Low,Al Jubail,Feasible,Feasible,No,Favorable,12 - 24 Months,150 - 200 Million,Yes,No,No,No,Major,High,Mitigated,Low,Low,High,Medium,NoGo
"Roads, Highways, and Bridges Construction",Low,Jeddah,Feasible,Feasible,No,Favorable,12 - 24 Months,100 - 150 Million,Yes,Yes,No,No,Major,Low,Mitigated,Low,Medium,Medium,Low,Go
Drainage and Stormwater Construction,High ,Hofuf,Unfeasible,Unfeasible,No,Neutral,Less than 6  Months,Less than 10 Million,No,No,Yes,No,Major,High,Mitigated,Low,Low,Low,Low,NoGo
"Roads, Highways, and Bridges Construction",High ,Riyadh,Unfeasible,Feasible,No,Favorable,12 - 24 Months,300 - 400 Million,Yes,Yes,No,No,Major,Medium,Mitigated,Medium,Medium,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Challenging,Challenging,No,Favorable,24 - 36 Months,Above 2 Billion,No,Yes,No,Yes,Minor,Medium,Mitigated,Low,High,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Tabuk,Challenging,Challenging,No,Favorable,12 - 24 Months,Above 2 Billion,No,Yes,No,Yes,Minor,High,Mitigated,High,Low,High,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Medina,Unfeasible,Feasible,No,Neutral,24 - 36 Months,Above 2 Billion,No,Yes,Yes,Yes,Major,Medium,Unmitigated,Low,Medium,Low,Low,NoGo
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Challenging,Feasible,No,Favorable,12 - 24 Months,300 - 400 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,Medium,Low,Go
"Roads, Highways, and Bridges Construction",Medium,Medina,Unfeasible,Unfeasible,No,Neutral,12 - 24 Months,Above 2 Billion,No,Yes,Yes,Yes,None,Medium,Unmitigated,Low,High,Medium,High,NoGo
Drainage and Stormwater Construction,High ,Jeddah,Challenging,Feasible,No,Neutral,Less than 6  Months,Less than 10 Million,No,Yes,Yes,No,Major,Medium,Mitigated,Medium,Medium,High,Medium,NoGo
Drainage and Stormwater Construction,High ,Medina,Unfeasible,Unfeasible,No,Neutral,24 - 36 Months,700 - 800 Million,No,No,Yes,No,Minor,High,Mitigated,Medium,Medium,Medium,Medium,NoGo
